course_id,degree,specialization
CRS001,B.Tech,Computer Science and Engineering
CRS002,B.E.,Computer Science and Engineering
CRS003,B.Tech,Information Technology
CRS004,B.E.,Information Technology
CRS005,B.Tech,Artificial Intelligence
CRS006,B.Tech,Artificial Intelligence and Machine Learning
CRS007,B.Tech,Data Science
CRS008,B.Tech,Computer Engineering
CRS009,B.E.,Computer Engineering
CRS010,B.Tech,Cyber Security
CRS011,M.Tech,Computer Science and Engineering
CRS012,M.Tech,Artificial Intelligence
CRS013,M.Tech,Data Science
CRS014,M.Tech,Information Technology
CRS015,Integrated M.Tech,Computer Science and Engineering
CRS016,Integrated M.Tech,Artificial Intelligence
CRS017,B.Sc,Computer Science
CRS018,B.Sc,Information Technology
CRS019,B.Sc,Data Science
CRS020,B.Sc,Statistics
CRS021,B.Sc,Mathematics
CRS022,M.Sc,Computer Science
CRS023,M.Sc,Data Science
CRS024,M.Sc,Statistics
CRS025,B.Tech,Electronics and Communication Engineering
CRS026,B.E.,Electronics and Communication Engineering
CRS027,B.Tech,Electrical and Electronics Engineering
CRS028,B.E.,Electrical Engineering
CRS029,B.Tech,Electronics Engineering
CRS030,B.Tech,Mechanical Engineering
CRS031,B.E.,Mechanical Engineering
CRS032,B.Tech,Civil Engineering
CRS033,B.E.,Civil Engineering
CRS034,BBA,Business Administration
CRS035,B.Com,Commerce
CRS036,B.Com,Commerce and Finance
CRS037,MBA,Business Administration
CRS038,MBA,Finance
CRS039,MBA,Human Resources
CRS040,MBA,Operations Management
CRS041,MBA,Marketing
CRS042,BCA,Computer Applications
CRS043,MCA,Computer Applications
CRS044,B.Sc,Information Systems
CRS045,M.Sc,Information Technology
