resume_id,source_category,total_experience_months,total_experience_years,experience_extraction_method
R001,SAP Developer,0,0.0,none
R002,HR,0,0.0,none
R003,Arts,36,3.0,explicit_years
R004,Database,0,0.0,none
R005,DevOps Engineer,0,0.0,none
R006,Operations Manager,0,0.0,none
R007,Civil Engineer,32,2.7,date_range
R008,ETL Developer,0,0.0,none
R009,ETL Developer,18,1.5,date_range
R010,Mechanical Engineer,0,0.0,none
R011,Civil Engineer,0,0.0,none
R012,DotNet Developer,0,0.0,none
R013,Hadoop,0,0.0,none
R014,Java Developer,0,0.0,none
R015,Blockchain,0,0.0,none
R016,DotNet Developer,108,9.0,year_range
R017,Health and fitness,132,11.0,year_range
R018,Database,0,0.0,none
R019,Business Analyst,0,0.0,none
R020,Civil Engineer,0,0.0,none
R021,Python Developer,0,0.0,none
R022,Advocate,216,18.0,since_year
R023,PMO,0,0.0,none
R024,SAP Developer,108,9.0,year_range
R025,Civil Engineer,96,8.0,year_range
R026,Health and fitness,0,0.0,none
R027,Business Analyst,0,0.0,none
R028,Civil Engineer,0,0.0,none
R029,Python Developer,0,0.0,none
R030,DevOps Engineer,0,0.0,none
R031,HR,0,0.0,none
R032,Advocate,0,0.0,none
R033,Sales,0,0.0,none
R034,Java Developer,0,0.0,none
R035,PMO,0,0.0,none
R036,Electrical Engineering,0,0.0,none
R037,DevOps Engineer,0,0.0,none
R038,Network Security Engineer,0,0.0,none
R039,Hadoop,0,0.0,none
R040,Java Developer,0,0.0,none
R041,Java Developer,0,0.0,none
R042,Testing,0,0.0,none
R043,Web Designing,0,0.0,none
R044,Arts,10,0.8,explicit_months
R045,Python Developer,0,0.0,none
R046,Testing,0,0.0,none
R047,Arts,96,8.0,since_year
R048,Advocate,0,0.0,none
R049,Network Security Engineer,0,0.0,none
R050,Business Analyst,0,0.0,none
R051,Operations Manager,0,0.0,none
R052,ETL Developer,18,1.5,date_range
R053,Data Science,0,0.0,none
R054,Python Developer,0,0.0,none
R055,Operations Manager,204,17.0,year_range
R056,Java Developer,0,0.0,none
R057,Network Security Engineer,0,0.0,none
R058,Automation Testing,108,9.0,year_range
R059,ETL Developer,36,3.0,explicit_years
R060,Automation Testing,0,0.0,none
R061,ETL Developer,96,8.0,year_range
R062,Automation Testing,0,0.0,none
R063,Arts,0,0.0,none
R064,HR,0,0.0,none
R065,Web Designing,0,0.0,none
R066,Operations Manager,0,0.0,none
R067,Mechanical Engineer,0,0.0,none
R068,Blockchain,0,0.0,none
R069,SAP Developer,0,0.0,none
R070,Network Security Engineer,0,0.0,none
R071,Sales,12,1.0,explicit_years
