resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score,score_delta,abs_delta,direction,context_classification,context_group,magnitude_category,audit_signal,primary_changed_component,explanation
R001,JOB022,R001_CF_NAME,name,Ananya Iyer,0.416366,0.415592,-0.000774,0.000774,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing name to Ananya Iyer changed the score from 0.4164 to 0.4156 (delta -0.0008). semantic made the largest negative weighted contribution change (-0.0008).
R001,JOB022,R001_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.416366,0.416329,-3.7e-05,3.7e-05,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to Indian Institute of Technology Kanpur changed the score from 0.4164 to 0.4163 (delta -0.0000). semantic made the largest negative weighted contribution change (-0.0000).
R001,JOB022,R001_CF_CITY,city,Bangalore,0.416366,0.41655,0.000184,0.000184,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Bangalore changed the score from 0.4164 to 0.4165 (delta +0.0002). semantic made the largest positive weighted contribution change (+0.0002).
R001,JOB022,R001_CF_AGE,age,38,0.416366,0.416366,0.0,0.0,No Change,Not Supported,Contextually Unsupported,Low,No Material Change,skills,Changing age to 38 changed the score from 0.4164 to 0.4164 (delta +0.0000). No screening component changed.
R001,JOB022,R001_CF_EXPERIENCE,experience,120,0.416366,0.416366,0.0,0.0,No Change,Potentially Beneficial,Contextually Supported,Low,No Material Change,skills,Changing experience to 120 changed the score from 0.4164 to 0.4164 (delta +0.0000). No screening component changed.
R002,JOB013,R002_CF_NAME,name,Ishita Chopra,0.524089,0.520371,-0.003718,0.003718,Score Decreased,Not Supported,Contextually Unsupported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,Changing name to Ishita Chopra changed the score from 0.5241 to 0.5204 (delta -0.0037). semantic made the largest negative weighted contribution change (-0.0037).
R002,JOB013,R002_CF_COLLEGE,college,BITS Pilani,0.524089,0.523669,-0.00042,0.00042,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to BITS Pilani changed the score from 0.5241 to 0.5237 (delta -0.0004). semantic made the largest negative weighted contribution change (-0.0004).
R002,JOB013,R002_CF_CITY,city,Delhi,0.524089,0.518168,-0.005921,0.005921,Score Decreased,Not Supported,Contextually Unsupported,Very High,Potentially Unsupported Proxy — Very High,semantic,Changing city to Delhi changed the score from 0.5241 to 0.5182 (delta -0.0059). semantic made the largest negative weighted contribution change (-0.0059).
R002,JOB013,R002_CF_DEGREE,degree,B.E.,0.524089,0.52576,0.001671,0.001671,Score Increased,Not Supported,Contextually Unsupported,Qualification Change,Qualification Change — Unsupported,semantic,Changing degree to B.E. changed the score from 0.5241 to 0.5258 (delta +0.0017). semantic made the largest positive weighted contribution change (+0.0017).
R002,JOB013,R002_CF_COURSE,course,Information Technology,0.524089,0.522434,-0.001655,0.001655,Score Decreased,No Relevant Improvement,Contextually Unsupported,Qualification Change,Qualification Change — Unsupported,semantic,Changing course to Information Technology changed the score from 0.5241 to 0.5224 (delta -0.0017). semantic made the largest negative weighted contribution change (-0.0017).
R002,JOB013,R002_CF_AGE,age,31,0.524089,0.524693,0.000604,0.000604,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing age to 31 changed the score from 0.5241 to 0.5247 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R002,JOB013,R002_CF_EXPERIENCE,experience,60,0.524089,0.524697,0.000608,0.000608,Score Increased,Potentially Beneficial,Contextually Supported,Low,Experience Change — Contextually Supported,semantic,Changing experience to 60 changed the score from 0.5241 to 0.5247 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R003,JOB002,R003_CF_NAME,name,Arjun Sharma,0.388595,0.386871,-0.001724,0.001724,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing name to Arjun Sharma changed the score from 0.3886 to 0.3869 (delta -0.0017). semantic made the largest negative weighted contribution change (-0.0017).
R003,JOB002,R003_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.388595,0.390261,0.001666,0.001666,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to Indian Institute of Technology Roorkee changed the score from 0.3886 to 0.3903 (delta +0.0017). semantic made the largest positive weighted contribution change (+0.0017).
R003,JOB002,R003_CF_CITY,city,Mumbai,0.388595,0.389399,0.000804,0.000804,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Mumbai changed the score from 0.3886 to 0.3894 (delta +0.0008). semantic made the largest positive weighted contribution change (+0.0008).
R003,JOB002,R003_CF_DEGREE,degree,B.Com,0.388595,0.393127,0.004532,0.004532,Score Increased,Not Supported,Contextually Unsupported,Qualification Change,Qualification Change — Unsupported,semantic,Changing degree to B.Com changed the score from 0.3886 to 0.3931 (delta +0.0045). semantic made the largest positive weighted contribution change (+0.0045).
R003,JOB002,R003_CF_COURSE,course,Management,0.388595,0.390525,0.00193,0.00193,Score Increased,No Relevant Improvement,Contextually Unsupported,Qualification Change,Qualification Change — Unsupported,semantic,Changing course to Management changed the score from 0.3886 to 0.3905 (delta +0.0019). semantic made the largest positive weighted contribution change (+0.0019).
R003,JOB002,R003_CF_AGE,age,33,0.388595,0.389191,0.000596,0.000596,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing age to 33 changed the score from 0.3886 to 0.3892 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R003,JOB002,R003_CF_EXPERIENCE,experience,48,0.388595,0.389595,0.001,0.001,Score Increased,Potentially Beneficial,Contextually Supported,Low,Experience Change — Contextually Supported,semantic,Changing experience to 48 changed the score from 0.3886 to 0.3896 (delta +0.0010). semantic made the largest positive weighted contribution change (+0.0010).
R004,JOB008,R004_CF_NAME,name,Aditya Verma,0.641826,0.640779,-0.001047,0.001047,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing name to Aditya Verma changed the score from 0.6418 to 0.6408 (delta -0.0010). semantic made the largest negative weighted contribution change (-0.0010).
R004,JOB008,R004_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.641826,0.642411,0.000585,0.000585,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to Indian Institute of Technology Delhi changed the score from 0.6418 to 0.6424 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R004,JOB008,R004_CF_CITY,city,Chennai,0.641826,0.642124,0.000298,0.000298,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Chennai changed the score from 0.6418 to 0.6421 (delta +0.0003). semantic made the largest positive weighted contribution change (+0.0003).
R004,JOB008,R004_CF_DEGREE,degree,B.Tech,0.641826,0.659473,0.017647,0.017647,Score Increased,Accepted,Contextually Supported,Qualification Change,Qualification Change — Contextually Supported,education_course,Changing degree to B.Tech changed the score from 0.6418 to 0.6595 (delta +0.0176). education_course made the largest positive weighted contribution change (+0.0176).
R004,JOB008,R004_CF_COURSE,course,Civil Engineering,0.641826,0.571285,-0.070541,0.070541,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,education_course,Changing course to Civil Engineering changed the score from 0.6418 to 0.5713 (delta -0.0705). education_course made the largest negative weighted contribution change (-0.0706).
R004,JOB008,R004_CF_AGE,age,44,0.641826,0.641826,0.0,0.0,No Change,Not Supported,Contextually Unsupported,Low,No Material Change,skills,Changing age to 44 changed the score from 0.6418 to 0.6418 (delta +0.0000). No screening component changed.
R004,JOB008,R004_CF_EXPERIENCE,experience,120,0.641826,0.642428,0.000602,0.000602,Score Increased,Potentially Beneficial,Contextually Supported,Low,Experience Change — Contextually Supported,semantic,Changing experience to 120 changed the score from 0.6418 to 0.6424 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R005,JOB009,R005_CF_NAME,name,Neha Kapoor,0.657756,0.655942,-0.001814,0.001814,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing name to Neha Kapoor changed the score from 0.6578 to 0.6559 (delta -0.0018). semantic made the largest negative weighted contribution change (-0.0018).
R005,JOB009,R005_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.657756,0.657869,0.000113,0.000113,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to Indian Institute of Technology Guwahati changed the score from 0.6578 to 0.6579 (delta +0.0001). semantic made the largest positive weighted contribution change (+0.0001).
R005,JOB009,R005_CF_CITY,city,Pune,0.657756,0.657782,2.6e-05,2.6e-05,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Pune changed the score from 0.6578 to 0.6578 (delta +0.0000). semantic made the largest positive weighted contribution change (+0.0000).
R005,JOB009,R005_CF_DEGREE,degree,B.Sc,0.657756,0.587167,-0.070589,0.070589,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,education_course,Changing degree to B.Sc changed the score from 0.6578 to 0.5872 (delta -0.0706). education_course made the largest negative weighted contribution change (-0.0706).
R005,JOB009,R005_CF_COURSE,course,Computer Science,0.657756,0.657749,-7e-06,7e-06,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,semantic,Changing course to Computer Science changed the score from 0.6578 to 0.6577 (delta -0.0000). semantic made the largest negative weighted contribution change (-0.0000).
R005,JOB009,R005_CF_AGE,age,40,0.657756,0.657756,0.0,0.0,No Change,Not Supported,Contextually Unsupported,Low,No Material Change,skills,Changing age to 40 changed the score from 0.6578 to 0.6578 (delta +0.0000). No screening component changed.
R005,JOB009,R005_CF_EXPERIENCE,experience,108,0.657756,0.657773,1.7e-05,1.7e-05,Score Increased,Potentially Beneficial,Contextually Supported,Low,Experience Change — Contextually Supported,semantic,Changing experience to 108 changed the score from 0.6578 to 0.6578 (delta +0.0000). semantic made the largest positive weighted contribution change (+0.0000).
R006,JOB019,R006_CF_NAME,name,Karan Mehta,0.4701,0.470558,0.000458,0.000458,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing name to Karan Mehta changed the score from 0.4701 to 0.4706 (delta +0.0005). semantic made the largest positive weighted contribution change (+0.0005).
R006,JOB019,R006_CF_COLLEGE,college,Indian Institute of Technology Madras,0.4701,0.471104,0.001004,0.001004,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to Indian Institute of Technology Madras changed the score from 0.4701 to 0.4711 (delta +0.0010). semantic made the largest positive weighted contribution change (+0.0010).
R006,JOB019,R006_CF_CITY,city,Hyderabad,0.4701,0.470682,0.000582,0.000582,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Hyderabad changed the score from 0.4701 to 0.4707 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R006,JOB019,R006_CF_DEGREE,degree,LLB,0.4701,0.470731,0.000631,0.000631,Score Increased,Not Supported,Contextually Unsupported,Qualification Change,Qualification Change — Unsupported,semantic,Changing degree to LLB changed the score from 0.4701 to 0.4707 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R006,JOB019,R006_CF_COURSE,course,Electronics and Telecommunication,0.4701,0.400443,-0.069657,0.069657,Score Decreased,No Relevant Improvement,Contextually Unsupported,Qualification Change,Qualification Change — Unsupported,education_course,Changing course to Electronics and Telecommunication changed the score from 0.4701 to 0.4004 (delta -0.0697). education_course made the largest negative weighted contribution change (-0.0706).
R006,JOB019,R006_CF_AGE,age,49,0.4701,0.4701,0.0,0.0,No Change,Not Supported,Contextually Unsupported,Low,No Material Change,skills,Changing age to 49 changed the score from 0.4701 to 0.4701 (delta +0.0000). No screening component changed.
R006,JOB019,R006_CF_EXPERIENCE,experience,216,0.4701,0.4701,0.0,0.0,No Change,Potentially Beneficial,Contextually Supported,Low,No Material Change,skills,Changing experience to 216 changed the score from 0.4701 to 0.4701 (delta +0.0000). No screening component changed.
R007,JOB006,R007_CF_NAME,name,Vikram Reddy,0.507274,0.508785,0.001511,0.001511,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing name to Vikram Reddy changed the score from 0.5073 to 0.5088 (delta +0.0015). semantic made the largest positive weighted contribution change (+0.0015).
R007,JOB006,R007_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.507274,0.50831,0.001036,0.001036,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to Indian Institute of Science Bangalore changed the score from 0.5073 to 0.5083 (delta +0.0010). semantic made the largest positive weighted contribution change (+0.0010).
R007,JOB006,R007_CF_CITY,city,Ahmedabad,0.507274,0.507941,0.000667,0.000667,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Ahmedabad changed the score from 0.5073 to 0.5079 (delta +0.0007). semantic made the largest positive weighted contribution change (+0.0007).
R007,JOB006,R007_CF_DEGREE,degree,BBA,0.507274,0.507382,0.000108,0.000108,Score Increased,Not Supported,Contextually Unsupported,Qualification Change,Qualification Change — Unsupported,semantic,Changing degree to BBA changed the score from 0.5073 to 0.5074 (delta +0.0001). semantic made the largest positive weighted contribution change (+0.0001).
R007,JOB006,R007_CF_COURSE,course,Mechanical Engineering,0.507274,0.432274,-0.075,0.075,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,education_course,Changing course to Mechanical Engineering changed the score from 0.5073 to 0.4323 (delta -0.0750). education_course made the largest negative weighted contribution change (-0.0750).
R007,JOB006,R007_CF_AGE,age,34,0.507274,0.507274,0.0,0.0,No Change,Not Supported,Contextually Unsupported,Low,No Material Change,skills,Changing age to 34 changed the score from 0.5073 to 0.5073 (delta +0.0000). No screening component changed.
R007,JOB006,R007_CF_EXPERIENCE,experience,44,0.507274,0.507274,0.0,0.0,No Change,Potentially Beneficial,Contextually Supported,Low,No Material Change,skills,Changing experience to 44 changed the score from 0.5073 to 0.5073 (delta +0.0000). No screening component changed.
R008,JOB011,R008_CF_NAME,name,Divya Rao,0.644699,0.642864,-0.001835,0.001835,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing name to Divya Rao changed the score from 0.6447 to 0.6429 (delta -0.0018). semantic made the largest negative weighted contribution change (-0.0018).
R008,JOB011,R008_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.644699,0.644844,0.000145,0.000145,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to Indian Institute of Technology Kharagpur changed the score from 0.6447 to 0.6448 (delta +0.0001). semantic made the largest positive weighted contribution change (+0.0001).
R008,JOB011,R008_CF_CITY,city,Bangalore,0.644699,0.644138,-0.000561,0.000561,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Bangalore changed the score from 0.6447 to 0.6441 (delta -0.0006). semantic made the largest negative weighted contribution change (-0.0006).
R008,JOB011,R008_CF_DEGREE,degree,B.A,0.644699,0.569699,-0.075,0.075,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,education_course,Changing degree to B.A changed the score from 0.6447 to 0.5697 (delta -0.0750). education_course made the largest negative weighted contribution change (-0.0750).
R008,JOB011,R008_CF_COURSE,course,Commerce,0.644699,0.584699,-0.06,0.06,Score Decreased,No Relevant Improvement,Contextually Unsupported,Qualification Change,Qualification Change — Unsupported,education_course,Changing course to Commerce changed the score from 0.6447 to 0.5847 (delta -0.0600). education_course made the largest negative weighted contribution change (-0.0600).
R008,JOB011,R008_CF_AGE,age,34,0.644699,0.644699,0.0,0.0,No Change,Not Supported,Contextually Unsupported,Low,No Material Change,skills,Changing age to 34 changed the score from 0.6447 to 0.6447 (delta +0.0000). No screening component changed.
R008,JOB011,R008_CF_EXPERIENCE,experience,60,0.644699,0.64503,0.000331,0.000331,Score Increased,Potentially Beneficial,Contextually Supported,Low,Experience Change — Contextually Supported,semantic,Changing experience to 60 changed the score from 0.6447 to 0.6450 (delta +0.0003). semantic made the largest positive weighted contribution change (+0.0003).
R009,JOB011,R009_CF_NAME,name,Rohan Gupta,0.575675,0.575386,-0.000289,0.000289,Score Decreased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing name to Rohan Gupta changed the score from 0.5757 to 0.5754 (delta -0.0003). semantic made the largest negative weighted contribution change (-0.0003).
R009,JOB011,R009_CF_COLLEGE,college,NIT Tiruchirappalli,0.575675,0.575942,0.000267,0.000267,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing college to NIT Tiruchirappalli changed the score from 0.5757 to 0.5759 (delta +0.0003). semantic made the largest positive weighted contribution change (+0.0003).
R009,JOB011,R009_CF_CITY,city,Bangalore,0.575675,0.576224,0.000549,0.000549,Score Increased,Not Supported,Contextually Unsupported,Low,Potentially Unsupported Proxy — Low,semantic,Changing city to Bangalore changed the score from 0.5757 to 0.5762 (delta +0.0005). semantic made the largest positive weighted contribution change (+0.0005).
R009,JOB011,R009_CF_DEGREE,degree,Bachelor,0.575675,0.505087,-0.070588,0.070588,Score Decreased,Requirement Not Met,Requirement Related,Qualification Change,Qualification Change — Requirement Related,education_course,Changing degree to Bachelor changed the score from 0.5757 to 0.5051 (delta -0.0706). education_course made the largest negative weighted contribution change (-0.0706).
R009,JOB011,R009_CF_COURSE,course,Electronics & Communication,0.575675,0.575675,0.0,0.0,No Change,No Relevant Improvement,Contextually Unsupported,Qualification Change,No Material Change,skills,Changing course to Electronics & Communication changed the score from 0.5757 to 0.5757 (delta +0.0000). No screening component changed.
