proxy_type,total_cases,non_zero_changes,no_material_change,mean_abs_delta,median_abs_delta,p75_abs_delta,p90_abs_delta,p95_abs_delta,max_abs_delta,score_increases,score_decreases,contextually_unsupported,unsupported_high_or_very_high,contextually_supported,requirement_related
age,200,90,110,0.0008769350000000001,0.0,0.0011232500000000001,0.0030713,0.004541999999999998,0.007109,61,29,200,20,0,0
city,200,200,0,0.001143235,0.0006275,0.00153425,0.0028653999999999997,0.0036863999999999994,0.006884,91,109,200,20,0,0
college,200,200,0,0.001632335,0.0010745,0.0020615,0.0037294,0.005212699999999998,0.009921,89,111,200,20,0,0
college+city,200,200,0,0.0018524200000000002,0.001297,0.0024875,0.004272099999999999,0.005305399999999991,0.010394,88,112,200,0,0,0
college+experience,200,200,0,0.003037805,0.0011949999999999999,0.0023875,0.0046808,0.006951449999999994,0.073647,97,103,200,0,0,0
college+name,200,200,0,0.002505495,0.0016205,0.003349,0.0062903,0.007793549999999996,0.011268,68,132,200,0,0,0
course,157,150,7,0.04222714012738854,0.065391,0.071733,0.088262,0.091578,0.103664,35,115,90,0,8,59
course+experience,157,154,3,0.04074006369426752,0.059859,0.070874,0.08734760000000001,0.090612,0.103333,37,117,157,0,0,0
degree,169,155,14,0.044254076923076924,0.066081,0.070588,0.07372440000000002,0.0878326,0.098514,48,107,54,0,26,89
degree+age,169,155,14,0.044278136094674556,0.066326,0.070588,0.07370160000000002,0.0874518,0.099489,48,107,169,0,0,0
degree+course,154,154,0,0.08096237662337663,0.07172300000000001,0.13765275,0.15694990000000006,0.16241515,0.177531,30,124,154,0,0,0
experience,200,110,90,0.00235888,2.2e-05,0.00129375,0.004469099999999999,0.005618899999999997,0.073736,79,31,0,0,200,0
name,200,200,0,0.00207855,0.0013985,0.00273925,0.0049161,0.006023299999999998,0.010877,83,117,200,20,0,0
name+age,200,200,0,0.002135885,0.001382,0.00300425,0.005133199999999998,0.006375499999999993,0.012041,86,114,200,0,0,0
name+city,200,200,0,0.00222054,0.001575,0.0031850000000000003,0.0048882,0.0071032,0.010618,85,115,200,0,0,0
