threshold,factor,group,total_candidates,selected_candidates,average_score,selection_rate,disparate_impact_ratio,selection_rate_difference
0.6,college_tier,1,200,17,0.50066983,0.085,1.0,0.0
0.6,city_tier,1,200,17,0.50066983,0.085,1.0,0.0
0.6,degree,B.Com,4,0,0.449963,0.0,0.0,-0.375
0.6,degree,B.E.,71,9,0.5328732957746479,0.1267605633802817,0.3380281690140845,-0.2482394366197183
0.6,degree,B.Sc,17,0,0.47644070588235293,0.0,0.0,-0.375
0.6,degree,B.Tech,8,3,0.583383125,0.375,1.0,0.0
0.6,degree,BBA,3,0,0.5536576666666667,0.0,0.0,-0.375
0.6,degree,Diploma,19,1,0.5248407368421052,0.05263157894736842,0.14035087719298245,-0.3223684210526316
0.6,degree,M.Com,1,0,0.388595,0.0,0.0,-0.375
0.6,degree,M.E.,5,0,0.4775834,0.0,0.0,-0.375
0.6,degree,M.Sc,4,0,0.48039275,0.0,0.0,-0.375
0.6,degree,M.Tech,2,0,0.48123550000000004,0.0,0.0,-0.375
0.6,degree,MBA,9,0,0.4666583333333334,0.0,0.0,-0.375
0.6,course,Biotechnology,2,0,0.507792,0.0,0.0,-0.5
0.6,course,Business Administration,3,0,0.5536576666666667,0.0,0.0,-0.5
0.6,course,Civil Engineering,8,1,0.54129375,0.125,0.25,-0.375
0.6,course,Commerce,4,0,0.44410075,0.0,0.0,-0.5
0.6,course,Commerce and Law,2,0,0.462978,0.0,0.0,-0.5
0.6,course,Computer Applications,7,2,0.50466,0.2857142857142857,0.5714285714285714,-0.2142857142857143
0.6,course,Computer Engineering,12,0,0.4814161666666667,0.0,0.0,-0.5
0.6,course,Computer Science,22,4,0.5473836363636363,0.18181818181818182,0.36363636363636365,-0.3181818181818182
0.6,course,Computer Technology,1,0,0.562368,0.0,0.0,-0.5
0.6,course,Criminology,1,0,0.467569,0.0,0.0,-0.5
0.6,course,Data Science,2,0,0.50806,0.0,0.0,-0.5
0.6,course,Economics,4,0,0.4040185,0.0,0.0,-0.5
0.6,course,Electrical Engineering,6,0,0.5089763333333334,0.0,0.0,-0.5
0.6,course,Electrical and Electronics Engineering,6,0,0.5301371666666667,0.0,0.0,-0.5
0.6,course,Electronics,5,0,0.46943999999999997,0.0,0.0,-0.5
0.6,course,Electronics & Communication,6,0,0.4718926666666667,0.0,0.0,-0.5
0.6,course,Electronics and Telecommunication,5,0,0.5496828,0.0,0.0,-0.5
0.6,course,Finance,1,0,0.491422,0.0,0.0,-0.5
0.6,course,Fine Arts / Painting,2,0,0.5547249999999999,0.0,0.0,-0.5
0.6,course,Hospitality Management,2,0,0.5237229999999999,0.0,0.0,-0.5
0.6,course,Hotel Management,5,0,0.4791378,0.0,0.0,-0.5
0.6,course,Human Resources,2,0,0.4922955,0.0,0.0,-0.5
0.6,course,Information Technology,20,10,0.589159,0.5,1.0,0.0
0.6,course,Law,5,0,0.5228372,0.0,0.0,-0.5
0.6,course,Management,9,0,0.4528121111111111,0.0,0.0,-0.5
0.6,course,Marketing,1,0,0.388595,0.0,0.0,-0.5
0.6,course,Mechanical Engineering,8,0,0.548052,0.0,0.0,-0.5
0.6,course,Operations Management,3,0,0.4864203333333333,0.0,0.0,-0.5
0.6,course,Science,2,0,0.5155755,0.0,0.0,-0.5
0.6,course,Sociology,1,0,0.476572,0.0,0.0,-0.5
0.6,course,Unknown,43,0,0.4420371162790698,0.0,0.0,-0.5
0.6,age_group,<=24,20,5,0.55414355,0.25,1.0,0.0
0.6,age_group,25-29,72,2,0.4989806944444444,0.027777777777777776,0.1111111111111111,-0.2222222222222222
0.6,age_group,30-34,74,5,0.4928480405405406,0.06756756756756757,0.2702702702702703,-0.18243243243243243
0.6,age_group,35-39,24,5,0.506381,0.20833333333333334,0.8333333333333334,-0.04166666666666666
0.6,age_group,40+,10,0,0.45005860000000003,0.0,0.0,-0.25
0.6,experience_group,<=1,11,0,0.5275496363636364,0.0,0.0,-0.15384615384615385
0.6,experience_group,1-3,26,4,0.5280196153846154,0.15384615384615385,1.0,0.0
0.6,experience_group,3-5,51,4,0.5036156666666667,0.0784313725490196,0.5098039215686274,-0.07541478129713425
0.6,experience_group,5-10,94,9,0.4976037234042553,0.09574468085106383,0.6223404255319148,-0.058101472995090025
0.6,experience_group,10+,18,0,0.4524033888888889,0.0,0.0,-0.15384615384615385
