threshold,factor,groups,total_candidates,selected_candidates,minimum_selection_rate,maximum_selection_rate,minimum_disparate_impact,maximum_disparate_impact
0.55,age_group,5,200,51,0.0,0.45,0.0,1.0
0.55,city_tier,1,200,51,0.255,0.255,1.0,1.0
0.55,college_tier,1,200,51,0.255,0.255,1.0,1.0
0.55,course,31,200,51,0.0,1.0,0.0,1.0
0.55,degree,11,143,40,0.0,1.0,0.0,1.0
0.55,experience_group,5,200,51,0.0,0.45454545454545453,0.0,1.0
0.6,age_group,5,200,17,0.0,0.25,0.0,1.0
0.6,city_tier,1,200,17,0.085,0.085,1.0,1.0
0.6,college_tier,1,200,17,0.085,0.085,1.0,1.0
0.6,course,31,200,17,0.0,0.5,0.0,1.0
0.6,degree,11,143,13,0.0,0.375,0.0,1.0
0.6,experience_group,5,200,17,0.0,0.15384615384615385,0.0,1.0
0.65,age_group,5,200,8,0.0,0.15,0.0,1.0
0.65,city_tier,1,200,8,0.04,0.04,1.0,1.0
0.65,college_tier,1,200,8,0.04,0.04,1.0,1.0
0.65,course,31,200,8,0.0,0.25,0.0,1.0
0.65,degree,11,143,8,0.0,0.25,0.0,1.0
0.65,experience_group,5,200,8,0.0,0.07692307692307693,0.0,1.0
