resume_id,intersection_type,expected_effect,actual_intersection_effect,interaction_effect
R001,college+city,0.00014699999999989076,0.0002989999999999,0.00015200000000000922
R002,college+city,-0.0063409999999999,-0.004203,0.0021379999999998995
R003,college+city,0.0024699999999999,0.0013999999999999,-0.0010699999999999998
R004,college+city,0.0008829999999999,0.00085,-3.299999999990008e-05
R005,college+city,0.00013899999999997047,0.000214,7.500000000002952e-05
R006,college+city,0.0015859999999999,0.0016339999999999,4.800000000000008e-05
R007,college+city,0.0017029999999999,0.001646,-5.699999999990001e-05
R008,college+city,-0.0004160000000001,-0.0004699999999999,-5.399999999980003e-05
R009,college+city,0.0008159999999998001,0.0010369999999999,0.00022100000000009991
R010,college+city,-0.0008830000000002,-0.000336,0.0005470000000002001
R011,college+city,0.0012439999999999999,0.001213,-3.099999999999978e-05
R012,college+city,-0.0028639999999999,-0.004344,-0.0014800000000000997
R013,college+city,0.00013599999999993226,0.0001539999999999,1.799999999996775e-05
R014,college+city,-0.0005839999999998,-0.0016249999999999,-0.0010410000000001
R015,college+city,-0.0012639999999998,-0.0014159999999999,-0.00015200000000009997
R016,college+city,-0.0019679999999997998,-0.001441,0.0005269999999997998
R017,college+city,-0.00031900000000009997,-0.000458,-0.00013899999999990005
R018,college+city,-0.0025039999999999,-0.000771,0.0017329999999999
R019,college+city,8.700000000010002e-05,0.000241,0.00015399999999989999
R020,college+city,-0.006599999999999899,-0.004037,0.0025629999999998996
R021,college+city,0.0008749999999998997,0.0008159999999999,-5.89999999999997e-05
R022,college+city,-0.0002749999999999,-0.0002999999999999,-2.500000000000001e-05
R023,college+city,-0.0149169999999998,-0.010394,0.0045229999999998
R024,college+city,-0.0008120000000000077,-0.000917,-0.00010499999999999225
R025,college+city,0.00040599999999990004,0.000535,0.00012900000000009995
R026,college+city,-0.001075,-0.000568,0.000507
R027,college+city,-0.0012919999999998,-0.0004319999999999,0.0008599999999999
R028,college+city,-0.00015999999999987124,-0.000163,-3.0000000001287677e-06
R029,college+city,0.005888999999999801,0.003534,-0.002354999999999801
R030,college+city,-0.001878,-0.001769,0.00010899999999999994
R031,college+city,-0.000541,-0.000939,-0.0003979999999999999
R032,college+city,-0.0038819999999999003,-0.004394,-0.0005120000000001
R033,college+city,-0.0012849999999998002,-9.099999999995224e-05,0.001193999999999848
R034,college+city,-0.0007379999999999,-0.001031,-0.00029300000000010004
R035,college+city,0.0014190000000000999,0.0017139999999999,0.0002949999999998002
R036,college+city,-0.00106700000000004,-0.000755,0.0003120000000000399
R037,college+city,-0.0011000000000001,-0.001207,-0.00010699999999989993
R038,college+city,0.000304999999999866,0.0003159999999999,1.100000000003404e-05
R039,college+city,-0.0057080000000001,-0.005769,-6.0999999999899676e-05
R040,college+city,-0.000694,-0.000502,0.000192
R041,college+city,0.000572999999999916,0.0005459999999999,-2.7000000000016052e-05
R042,college+city,-0.000819,-0.000445,0.000374
R043,college+city,0.00011999999999999999,4.000000000004e-06,-0.00011599999999999599
R044,college+city,-0.0003279999999999,-0.0005319999999999,-0.00020399999999999997
R045,college+city,-0.0011390000000001,-0.001993,-0.0008539999999999
R046,college+city,-0.0011970000000001,-0.0010929999999999,0.00010400000000019985
R047,college+city,-0.006097,-0.003619,0.002478
R048,college+city,0.00013999999999999993,-0.0018529999999999,-0.0019929999999999002
R049,college+city,-0.0021409999999998,-0.0022039999999999,-6.300000000009987e-05
R050,college+city,0.00035200000000001723,0.000288,-6.400000000001722e-05
R051,college+city,-0.00026799999999990005,-9.500000000001174e-05,0.0001729999999998883
R052,college+city,0.0002590000000000225,0.0004400000000001,0.00018100000000007747
R053,college+city,0.0015889999999998,0.0013599999999999,-0.00022899999999990007
R054,college+city,-0.0014820000000001002,-0.001986,-0.0005039999999998997
R055,college+city,-0.000272,-0.000253,1.8999999999999974e-05
R056,college+city,-0.0076379999999999,-0.0058469999999999,0.001791
R057,college+city,0.003851,0.003398,-0.00045299999999999984
R058,college+city,0.004905,0.003363,-0.0015419999999999995
R059,college+city,-0.00398,-0.003763,0.00021700000000000018
R060,college+city,-0.0016579999999999,-0.001989,-0.0003310000000000999
R061,college+city,-0.00021800000000009998,-0.000221,-2.999999999900028e-06
R062,college+city,-0.001536,-0.0015479999999999,-1.1999999999899895e-05
R063,college+city,0.0024769999999999,0.0020459999999999,-0.00043099999999999996
R064,college+city,-0.0031749999999999,-0.0009949999999999,0.00218
R065,college+city,0.0015059999999999,0.0011039999999999,-0.000402
R066,college+city,0.004159,0.004234,7.499999999999955e-05
R067,college+city,-0.004998999999999899,-0.002125,0.002873999999999899
R068,college+city,-0.0028439999999999,-0.002417,0.0004269999999999001
R069,college+city,0.00014299999999988551,0.0002429999999999,0.00010000000000001449
R070,college+city,-0.006696,-0.006006,0.0006899999999999996
R071,college+city,-0.0012749999999999,-0.001192,8.29999999999e-05
R072,college+city,0.0027029999999998856,0.0007709999999999,-0.0019319999999999856
R073,college+city,0.0006059999999999,0.0008969999999999,0.000291
R074,college+city,-0.0004899999999998363,-0.0004799999999999,9.999999999936275e-06
R075,college+city,0.0055059999999998,0.0044839999999999,-0.0010219999999998997
R076,college+city,0.001474,0.0013719999999999,-0.00010200000000010006
R077,college+city,-0.0053429999999999,-0.003417,0.0019259999999999
R078,college+city,0.0012589999999999,0.0013269999999999,6.800000000000013e-05
R079,college+city,0.0039299999999999,0.003168,-0.0007619999999998999
R080,college+city,0.00019299999999990007,0.0001279999999999,-6.500000000000006e-05
R081,college+city,0.003685,0.002237,-0.001448
R082,college+city,0.0026769999999999997,0.0015769999999999,-0.0011000000000000996
R083,college+city,0.0041660000000000846,0.004172,5.999999999915795e-06
R084,college+city,-0.0028450000000000003,-0.0027679999999999,7.700000000010043e-05
R085,college+city,0.0006449999999999155,0.0005899999999999,-5.500000000001554e-05
R086,college+city,0.0037669999999998985,0.0042659999999999,0.0004990000000000016
R087,college+city,-0.0021089999999998,-0.001978,0.00013099999999979968
R088,college+city,0.0026339999999999003,0.002487,-0.00014699999999990025
R089,college+city,-0.003035,-0.0024649999999999,0.0005700000000000999
R090,college+city,0.0010119999999998,0.0014759999999999,0.00046400000000009997
R091,college+city,-0.0028659999999999996,-0.000679,0.0021869999999999997
R092,college+city,-3.999999999990003e-05,0.0001309999999999,0.00017099999999980003
R093,college+city,0.0003149999999999,0.0003949999999999,7.999999999999999e-05
R094,college+city,-0.0009609999999999001,-0.0010609999999999,-9.999999999999983e-05
R095,college+city,-0.0005849999999999996,-0.002805,-0.0022200000000000006
R096,college+city,0.00019499999999999986,-0.001284,-0.0014789999999999998
R097,college+city,6.199999999988349e-05,8.599999999997499e-05,2.4000000000091494e-05
R098,college+city,-0.001774999999999829,-0.0017159999999999,5.899999999992912e-05
R099,college+city,0.0034959999999999002,0.003468,-2.7999999999900067e-05
R100,college+city,-0.0008309999999998,-0.000767,6.39999999998e-05
R101,college+city,-0.0009599999999999,0.000898,0.0018579999999999
R102,college+city,-0.00369,-0.00367,2.0000000000000052e-05
R103,college+city,-0.0018409999999999,-0.0015819999999999,0.0002590000000000001
R104,college+city,-0.013669999999999901,-0.007867,0.0058029999999999
R105,college+city,-0.0012619999999999,-0.0012199999999999,4.199999999999994e-05
R106,college+city,-0.011555,-0.0076849999999999,0.003870000000000099
R107,college+city,0.0004960000000000999,-0.0001319999999999,-0.0006279999999999999
R108,college+city,-0.002327,-0.000959,0.001368
R109,college+city,2.99999999998999e-05,0.000371,0.0003410000000001001
R110,college+city,-0.0070149999999999,-0.004178,0.0028369999999998995
R111,college+city,-0.001666,-0.001798,-0.00013199999999999996
R112,college+city,-0.00019700000000000002,-0.0007469999999999,-0.0005499999999999
R113,college+city,0.001997,0.00131,-0.0006870000000000001
R114,college+city,-0.0005029999999999,-0.000269,0.00023399999999990003
R115,college+city,0.0049959999999998,0.0025299999999999,-0.0024659999999999
R116,college+city,0.007901,0.005152,-0.0027489999999999997
R117,college+city,-0.0026149999999999,-0.0020919999999999,0.000523
R118,college+city,0.00019499999999989995,0.0001759999999999,-1.8999999999999947e-05
R119,college+city,0.0005129999999999,0.0003529999999999,-0.00016000000000000004
R120,college+city,0.0039419999999998,0.003531,-0.0004109999999998
R121,college+city,0.00048299999999992153,0.0005509999999999,6.799999999997845e-05
R122,college+city,0.006649999999999899,0.003622,-0.0030279999999998993
R123,college+city,-0.0017510000000000002,-0.001739,1.2000000000000075e-05
R124,college+city,0.00027299999999990006,0.0003869999999999,0.00011399999999999995
R125,college+city,-0.0073989999999998,-0.0050449999999999,0.0023539999999998996
R126,college+city,-0.003522,-0.006658,-0.003136
R127,college+city,0.001461,0.0011619999999999,-0.00029900000000009997
R128,college+city,-0.0073319999999999,-0.004701,0.0026309999999999
R129,college+city,0.00018799999999990003,0.0001629999999999,-2.500000000000004e-05
R130,college+city,5.899999999990001e-05,1.0999999999983244e-05,-4.799999999991676e-05
