proxy_type,variants,mean_delta,median_delta,min_delta,max_delta,mean_abs_delta
age,200,0.000648025,0.0,-0.003547,0.007109,0.0008769350000000001
city,200,-0.000245835,-0.000154,-0.006884,0.004561,0.001143235
college,200,-0.000409225,-0.000114,-0.009921,0.005362,0.001632335
college+city,200,-0.00050011,-0.000285,-0.010394,0.006637,0.0018524200000000002
college+experience,200,0.001295365,-4.4e-05,-0.00764,0.073647,0.003037805
college+name,200,-0.0013398750000000001,-0.000758,-0.011268,0.006302,0.002505495
course,157,-0.03549277070063694,-0.059859,-0.103664,0.088755,0.04222714012738854
course+experience,157,-0.033648866242038215,-0.041317,-0.103333,0.088755,0.04074006369426752
degree,169,-0.03321711834319526,-0.06,-0.08897,0.098514,0.044254076923076924
degree+age,169,-0.033145023668639056,-0.06,-0.08897,0.099489,0.044278136094674556
degree+course,154,-0.06829642857142856,-0.0705915,-0.177531,0.177256,0.08096237662337663
experience,200,0.00217562,0.0,-0.00239,0.073736,0.00235888
name,200,-0.00059682,-0.000304,-0.010877,0.009672,0.00207855
name+age,200,-0.00045742499999999996,-0.000231,-0.012041,0.009782,0.002135885
name+city,200,-0.00074792,-0.0004075,-0.010618,0.008074,0.00222054
